Designator,Footprint,Quantity,Value,LCSC Part #
D1,DB_M,1,D_Bridge_+-AA,
"D2, D3, D4, D5, D6, D7, D8, D9",D_SMA,8,SMAJ5.0A,
D_INDICATOR_LED1,LED_D5.0mm_Clear,1,LED,
F1,Fuseholder_Clip-5x20mm_Keystone_3512P_Inline_P23.62x7.27mm_D1.02x2.41x1.02x1.57mm_Horizontal,1,Fuse_Small,
J1,TerminalBlock_Altech_AK300-2_P5.00mm,1,24Vac,
RSENSE1,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,R,
"RSH1, RSH2, RSL1, RSL2",0603,4,R,
"SERVO1, SERVO2, SERVO3, SERVO4",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03_Pin,
"SW1, SW2, SW3, SW4",CONN_1985195,4,Screw_Terminal_01x02,
U1,TO-220-3_Vertical,1,LM7805_TO220,
U2,MS1584_fullboard,1,~,
U3,XIAO-Generic-Thruhole-14P-2.54-21X17.8MM,1,~,
VBYP1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
