Designator,Mid X,Mid Y,Rotation,Layer
D1,133.127,-47.0,180.0,top
D2,82.0,-33.0,0.0,bottom
D3,82.0,-46.5,0.0,bottom
D4,82.0,-58.5,0.0,bottom
D5,82.5,-70.5,0.0,bottom
D6,82.5,-65.5,0.0,bottom
D7,82.0,-53.5,0.0,bottom
D8,82.0,-40.5,0.0,bottom
D9,82.5,-78.0,0.0,bottom
D_INDICATOR_LED1,116.0,-56.23,270.0,top
F1,101.0,-65.54,90.0,top
J1,134.62,-35.825,90.0,top
RSENSE1,109.5,-62.0,90.0,top
RSH1,104.1635,-48.387,180.0,top
RSH2,104.2905,-44.069,0.0,top
RSL1,109.9585,-48.26,180.0,top
RSL2,109.8315,-43.942,180.0,top
SERVO1,91.567,-35.941,0.0,top
SERVO2,91.567,-48.91,0.0,top
SERVO3,91.567,-60.848,0.0,top
SERVO4,91.567,-73.548,0.0,top
SW1,79.3974,-35.024999,90.0,top
SW2,79.2704,-48.425599,90.0,top
SW3,79.3974,-60.363599,90.0,top
SW4,79.3974,-72.682599,90.0,top
U1,123.945,-45.5,90.0,top
U2,129.5,-67.5,270.0,top
U3,107.1903,-40.64,0.0,top
VBYP1,122.495,-34.0,90.0,top
