Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D8.0mm_P2.50mm,1,C_Polarized,
C2,0603,1,Ct,
C3,C_Rect_L4.0mm_W2.5mm_P2.50mm,1,Ct,
Co1,CP_Radial_D8.0mm_P3.80mm,1,C_Polarized,
D1,DB_M,1,D_Bridge_+-AA,
D2,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,
F1,Fuseholder_Clip-5x20mm_Keystone_3512P_Inline_P23.62x7.27mm_D1.02x2.41x1.02x1.57mm_Horizontal,1,Fuse_Small,
J1,TerminalBlock_Altech_AK300-2_P5.00mm,1,24Vac,
L1,L_Axial_L16.0mm_D7.5mm_P7.62mm_Vertical_Fastron_XHBCC,1,L,
"PowerCtrl1, Servo1, Servo2, Servo3, Servo4",PinHeader_1x03_P2.54mm_Vertical,5,Conn_01x03_Pin,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,R,
Rsc1,R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,1,R,
Rsense1,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,R,
"Rsh1, Rsh2, Rsl1, Rsl2",0603,4,R,
"Sw1, Sw2, Sw3, Sw4",CONN_1985195,4,Screw_Terminal_01x02,
U1,TO-220-3_Vertical,1,LM7805_TO220,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MC33063AD,
U3,XIAO-Generic-Thruhole-14P-2.54-21X17.8MM,1,~,
Vbyp1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
