Designator,Mid X,Mid Y,Rotation,Layer
C1,140.588951,-89.408,0.0,top
C2,161.706,-114.3,0.0,top
C3,161.833,-110.49,0.0,top
Co1,140.462,-99.822049,90.0,top
D1,141.097,-78.613,180.0,top
D2,149.479,-96.901,90.0,top
F1,179.451,-110.49,270.0,top
F2,112.141,-87.503,90.0,top
F3,128.778,-87.249,90.0,top
J1,141.605,-65.786,0.0,top
J2,114.173,-65.786,0.0,top
J3,127.889,-65.786,0.0,top
L1,159.838,-102.362,0.0,top
LGate1,139.065,-109.982,0.0,top
LGate2,150.368,-110.109,0.0,top
LeftPD1,138.684,-115.443,0.0,top
LeftPD2,150.114,-115.824,0.0,top
PowerCtrl1,172.593,-88.265,0.0,top
QL1,138.049,-121.031,0.0,top
QL2,147.828,-121.158,0.0,top
R1,160.401,-90.819,0.0,top
R2,160.401,-94.869,0.0,top
Relay1,114.3475,-112.522,180.0,top
Relay2,127.0475,-112.9355,180.0,top
Rsc1,158.75,-86.36,0.0,top
Rsense1,164.084,-120.777,180.0,top
Rsh1,156.8685,-69.596,0.0,top
Rsh2,156.8685,-72.771,0.0,top
Rsl1,163.7265,-69.723,0.0,top
Rsl2,163.7265,-72.517,0.0,top
Sw1,180.086,-61.595,270.0,top
Sw2,180.086,-72.39,270.0,top
U1,169.346,-111.379,270.0,top
U2,160.523,-67.564,0.0,top
U3,180.34,-88.265,270.0,top
Vbyp1,161.549,-80.899,90.0,top
